epoch,e,a,q,i,om,w,ma,ad,n,tp,per,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,sigma_a/a,Nopp,Mean anomaly degrees barycentric 2022-01-21 00:00:00,Argument of perihelion J2000.0 degrees barycentric 2022-01-21 00:00:00,Longitude of ascending node J2000.0 degrees barycentric 2022-01-21 00:00:00,Inclination to ecliptic J2000.0 degrees barycentric 2022-01-21 00:00:00,Orbital eccentricity barycentric 2022-01-21 00:00:00,Mean daily motion degrees per day barycentric 2022-01-21 00:00:00,Semimajor axis AU barycentric 2022-01-21 00:00:00,Perihelion distance AU barycentric 2022-01-21 00:00:00,Orbital period days barycentric 2022-01-21 00:00:00,Packed MPC designation,Nominal class,Most common class,Most common class percent,Detached count,Scattering count,Classical count,Resonant count,Range au barycentric 2022-01-21 00:00:00,xhat barycentric 2022-01-21 00:00:00,yhat barycentric 2022-01-21 00:00:00,zhat barycentric 2022-01-21 00:00:00,Ecliptic latitude beta J2000.0 2022-01-21 00:00:00,Ecliptic longitude lambda J2000.0 2022-01-21 00:00:00
2459600.5,0.0750144143535836,44.17490936352841,40.86115440850068,2.178186540331563,359.2433083149486,3.547598938042513,33.36483137938611,47.48866431855613,0.0033569167666587,2449661.3702274747,107241.2648343155,4.7232e-05,0.0029422,0.00064571,5.5165e-05,0.0008642,0.011391,0.012504,0.0031629,3.3537e-07,2.9043,10.714,6.660341905373851e-05,16,34.23636283382879,2.829094502569241,359.4123253505991,2.185465653475154,0.0693606412900077,0.0033870909230441,43.93179349853596,40.88465612845731,106285.8978927101,15760,Classical,Classical,1.0,0,0,301,0,41.485693252692165,0.7513989116691743,0.6593570407398294,0.025455222827457654,1.4586343883324857,41.26714516952459
2459600.5,0.1886215731064954,39.73554672717605,32.24056539524945,5.1450179904821,354.479685472524,318.4429389911986,72.44841951351488,47.23052805910265,0.003934914357914,2441188.810971037,91488.64937198882,1.3377e-05,0.0015382,0.00073199,3.3634e-05,0.0003246,0.0073897,0.0086943,0.0018283,2.2849e-07,1.141,5.3124,3.871093080866029e-05,9,74.05396814892877,316.9884105913393,354.6511581115499,5.156781598145673,0.1856797981526297,0.0039688119286019,39.52663323584517,32.18733595496042,90707.24601626796,15789,Resonant,Resonant,1.0,0,0,0,301,38.84183966524426,0.6812714208879118,0.7285605645872233,0.07119518810785189,4.082637748032016,46.9211175019421
2459600.5,0.0585881974715543,43.58467004091628,41.03112278582654,0.5627295314913568,176.7629733027979,301.7172654327373,84.47481805045975,46.13821729600602,0.0034253379810683,2434938.75318338,105099.1178066821,2.5199e-05,0.0036831,0.0025141,8.827e-05,0.0042649,0.058375,0.060602,0.0038989,4.3419e-07,14.571,13.322,8.450448280421512e-05,14,81.08043380859995,304.7821779512235,176.8076845890448,0.5639006488873912,0.0611665724096384,0.0034085587761158,43.74713792433618,41.07127544477283,105616.4859243618,15807,Classical,Classical,1.0,0,0,301,0,43.49388916057785,-0.8689728511492392,-0.4948309604598629,0.005338963938029059,0.305901553896987,209.65906930450825
2459600.5,0.2230718853342498,42.53916220858461,33.04987109417617,14.04839444692683,56.37159118006583,237.95101471,357.8051699757037,52.02845332299304,0.0035523902981509,2460218.345968513,101340.2159631442,0.00032104,0.020688,0.0072099,0.00072742,0.00041988,0.062087,0.035225,0.025303,2.5914e-06,9.5969,73.926,0.0004863283366644,7,358.0855854645806,237.4850193971797,56.32599337058937,14.04474732789105,0.2166650828919657,0.0035992649583492,42.18787248954951,33.04723359956558,100020.4219933575,15809,Resonant,Resonant,1.0,0,0,0,301,33.05554625196353,0.33430978374978126,-0.9215540970563727,-0.1974209074231708,-11.386181087837855,289.939120957031
2459600.5,0.120004053285237,39.61447712119219,34.86057929787385,3.795914002078159,144.8170247531371,104.7936355173234,35.32639851552344,44.36837494451054,0.0039529669376335,2450663.8205202897,91070.83506635946,3.3979e-06,0.00027204,0.00012563,5.4154e-05,0.0007093,0.0036515,0.0031467,0.00030468,4.0718e-08,0.70823,0.93809,6.86718643711365e-06,15,37.85159118627806,102.0840108409171,144.7523104193783,3.803150601839401,0.1170024582999448,0.0039950576684165,39.35332827940239,34.74889212842757,90111.34003046413,15810,Resonant,Resonant,1.0,0,0,0,301,35.95149415581393,0.40645789074149424,-0.9130376604893581,0.033973718991230764,1.946925363064075,293.9972417233122
2459600.5,0.0720203359104402,36.18129755616019,33.57550835248994,6.565012910100756,127.5778242802151,330.348904166236,70.63266438472118,38.78708675983043,0.0045287449971729,2444003.979456492,79492.22140454584,1.9348e-05,0.0015929,0.00080541,6.8404e-05,0.00045148,0.021634,0.022888,0.0017077,2.9908e-07,4.0285,5.2497,4.4025507861555246e-05,10,66.96038088314047,334.0284099903744,127.4861881853874,6.555091980741928,0.0740836969580007,0.0044952237222525,36.37720238042191,33.68224474309087,80085.0018249149,15836,Resonant,Resonant,1.0,0,0,0,301,35.498616422710846,-0.9942723768009984,0.06312152031679857,0.0862445036126296,4.947592498751899,176.36744439630948
2459600.5,0.5823546221374375,83.73360062966431,34.97095127476905,23.95979479912135,217.7040158356334,184.3526135701844,9.73712924916385,132.4962499845596,0.0012863359989701,2452030.837596896,279864.670108139,1.6252e-05,0.0035621,0.00012833,1.8197e-05,3.1461e-05,0.0003709,0.00069239,0.0056366,8.2084e-08,0.062302,17.859,4.254086738434194e-05,22,9.749825400686433,184.5776390233731,217.7710657847103,23.97869888434652,0.580075407970658,0.0012946153220821,83.41349948564218,35.02737974124804,278074.8797418971,15874,Scattering,Scattering,1.0,0,301,0,0,38.68874259753871,0.13554125878718862,0.945661623194761,-0.2955548368459459,-17.19081079180915,81.84337357466578
2459600.5,0.2131419198188402,46.76406442892725,36.79668195801376,19.1945532249297,127.2871336518332,299.1992183560088,75.82080171860633,56.73144689984074,0.0030820217456173,2434999.5049465345,116806.4438584568,0.00012799,0.017397,0.0083532,0.00021512,0.00018686,0.063099,0.077576,0.021105,1.7198e-06,11.444,65.18,0.0003720164235604,6,74.29550634833836,300.8310626749084,127.1856525635341,19.1514585161683,0.2130009454458019,0.0030564526920202,47.04553208555368,37.02478927232994,117783.5995760329,15883,Classical,Classical,1.0,0,0,301,0,46.4296766299951,-0.9456326296998107,0.24885902705710358,0.20939941332108078,12.087158662410893,165.2559648543903
2459600.5,0.0523111668907983,44.11849424045793,41.81060432527461,3.753232557308615,25.76173932630225,254.173256730701,329.1360123289662,46.42638415564125,0.0033633576506038,2468777.040492353,107035.8960889465,3.433e-05,0.0030943,0.0014623,7.3996e-05,0.0007449,0.043907,0.04212,0.0032562,3.5384e-07,11.566,11.261,7.013611985792656e-05,14,331.2948091224849,251.7593318757096,25.64260416084162,3.744526021431395,0.0497458508441546,0.0033714001178137,44.06799638102476,41.87579640605357,106780.5622055467,16684,Classical,Classical,1.0,0,0,301,0,42.17210581621088,-0.4104792321632598,-0.9108967193556273,-0.042118483232610665,-2.413925391621775,245.74214762744157
2459600.5,0.0306871872197108,42.69815137173178,41.38786520665189,1.484691465627901,72.33489850522109,119.3286323160693,267.88500143684,44.00843753681167,0.0035325674677633,2485676.4346859646,101908.8816520003,0.00016905,0.011418,0.017864,0.0002723,0.0018243,0.29759,0.28336,0.011768,1.417e-06,70.106,40.877,0.0002674120455612,7,271.8071043792683,115.6976386002074,72.38188169465681,1.487259386748303,0.0334549921277347,0.0035238207621711,42.78789914697154,41.3564303178473,102161.8363410157,19255,Classical,Classical,1.0,0,0,301,0,42.790640421614334,-0.10531383995454294,0.994384438952983,0.01042030144430682,0.597050099228818,96.04557797282209
