Number or provisional designation in packed form,H absolute magnitude,G slope parameter,Epoch in packed form .0 TT,Mean anomaly at epoch in degrees,Argument of perihelion J2000.0 degrees,Longitude of ascending node J2000.0 degrees,Inclination to ecliptic J2000.0 degrees,Orbital eccentricity,Mean daily motion degrees per day,Semimajor axis AU,Uncertainty parameter U,Reference,Number of observations,Number of oppositions,Year of first observation,Year of last observation,Arc length days,RMS residual arcsec,Coarse indicator of perturbers blank if unperturbed one opposition object,Precise indicator of perturbers blank if unperturbed one opposition object,Computer name,Readable designation,Date of last observation included in orbit solution YYYYMMDD
K04U10S,9.3,0.15,K221L,15.74668,6.9675,14.0161,10.26755,0.2239038,0.00392896,39.7756991,3,MPO434900,13,4,2004,2015,-999,0.28,M-v,38h,MPCW,2004 US10,20151108
K04V75U,6.7,0.15,K221L,83.86684,249.62589,53.0844,3.33912,0.1356604,0.00338883,43.8971063,2,MPO339383,20,5,2004,2013,-999,0.33,M-v,38h,MPCADO,2004 VU75,20131006
K04V75Z,6.4,0.15,K221L,284.36037,12.86357,168.54029,4.46687,0.189803,0.00398196,39.4219401,2,MPO473096,25,6,2003,2019,-999,0.36,M-v,38h,MPCW,2004 VZ75,20190208
K04V78K,7.92,0.15,K221L,28.91266,312.04186,67.50857,1.46507,0.3331835,0.00297362,47.8937559,3,MPO598879,27,6,2004,2020,-999,0.47,M-v,3Ek,Pike,2004 VK78,20201209
K04VD0U,6.9,0.15,K221L,51.94268,272.08508,42.91705,8.00551,0.4326846,0.00198459,62.7127991,2,MPO373447,26,6,1999,2008,-999,0.24,M-v,38h,MPCADO,2004 VU130,20081206
K04VD0V,7.5,0.15,K221L,4.54071,28.28815,46.39935,23.90361,0.1884521,0.00397736,39.452343,1,MPO598880,75,13,2004,2021,-999,0.18,M-v,38h,Rudenko,2004 VV130,20210111
K04VD0X,7.71,0.15,K221L,69.45144,291.78154,44.37482,5.73539,0.211131,0.00395951,39.5708349,4,MPO598880,22,6,2004,2020,-999,0.53,M-v,3Ek,Pike,2004 VX130,20201209
K04VD0Y,8.1,0.15,K221L,24.82895,180.30724,222.31527,10.19756,0.2778902,0.00398964,39.3713161,1,MPO434900,36,5,2004,2017,-999,0.22,M-v,38h,MPCLINUX,2004 VY130,20171220
K04VD0Z,8.79,0.15,K221L,40.17595,334.41269,39.99573,11.56927,0.2843375,0.00395124,39.6260442,3,MPO598880,33,6,2004,2021,-999,0.43,M-v,3Ek,Alexanders,2004 VZ130,20210111
K04VD1C,6.16,0.15,K221L,17.84651,278.65217,124.83705,0.49002,0.0768393,0.00337239,44.0397027,2,E2021-UJ2,90,13,2004,2021,-999,0.62,M-v,3Ek,MPCLINUX,2004 VC131,20211028
K04VD1D,6.6,0.15,K221L,49.58658,329.74707,36.05559,3.64334,0.1316746,0.00310999,46.4833156,3,MPO598880,34,5,1999,2020,-999,0.51,M-v,3Ek,Pike,2004 VD131,20201209
K04VD1E,7.6,0.15,K221L,321.52769,271.83927,219.14536,5.19344,0.255514,0.00358492,42.2814736,3,MPO285667,16,4,2004,2013,-999,0.19,M-v,38h,MPCADO,2004 VE131,20131007
K04VD1F,6.8,0.15,K221L,87.80534,64.62786,246.46428,0.81927,0.2166114,0.00340026,43.7986856,2,MPO339383,26,6,1999,2009,-999,0.28,M-v,38h,MPCADO,2004 VF131,20090819
K04VD1G,8.39,0.15,K221L,15.22696,344.88221,42.66559,13.62807,0.510659,0.00190118,64.5338928,4,E2021-VR4,17,4,2004,2021,-999,0.41,M-v,3Ek,MPCLINUX,2004 VG131,20211105
K04VD1H,9.7,0.15,K221L,24.17265,308.25351,39.53803,11.95556,0.6326172,0.00209598,60.4707173,2,MPO201696,26,3,2004,2007,-999,0.22,M-v,38h,MPCW,2004 VH131,20070912
K04VD1M,8.4,0.15,K221L,16.35811,137.72672,225.84674,14.02283,0.7011358,0.00172438,68.8727783,1,MPO419354,34,5,1999,2016,-999,0.37,M-v,38h,MPCLINUX,2004 VM131,20160313
K04VD1U,7.4,0.15,K221L,26.45077,182.02429,207.66969,0.76965,0.1006352,0.00319062,45.6968657,2,MPO466199,44,6,2004,2017,-999,0.12,M-v,38h,MPCW,2004 VU131,20171213
K04VD1V,6.4,0.15,K221L,152.52467,210.87085,50.36577,1.74091,0.0705005,0.00334006,44.323382,3,MPO555258,52,7,2004,2017,-999,0.29,M-v,38h,Veres,2004 VV131,20170126
K04XJ0R,4.3,0.15,K221L,280.58947,283.9119,252.36131,46.65291,0.1038734,0.00226626,57.4022794,1,MPO473097,114,14,2002,2017,-999,0.17,M-v,38h,MPCLINUX,2004 XR190,20170901
K04XJ0X,6.9,0.15,K221L,44.55188,331.84604,71.96764,1.57672,0.1055665,0.0032533,45.1079364,3,MPO598882,29,6,2003,2020,-999,0.4,M-v,3Ek,Pike,2004 XX190,20201209
K05B49V,6.95,0.15,K221L,5.83431,26.27746,116.13495,7.99482,0.0396323,0.0034444,43.4237224,3,MPO623396,42,9,2002,2021,-999,0.44,M-v,3Ek,Pike,2005 BV49,20210320
K05B49W,6.6,0.15,K221L,329.4804,123.80051,58.8826,2.10325,0.0731626,0.00339923,43.8075206,3,MPO419354,22,6,2004,2013,-999,0.23,M-v,38h,MPCLINUX,2005 BW49,20130314
K05C79A,5.2,0.15,K221L,21.39295,68.62451,50.09871,11.67286,0.2187911,0.00301655,47.4382859,0,MPO598887,208,18,2001,2021,-999,0.31,M-v,38h,MPCLINUX,2005 CA79,20210124
K05C81D,7.05,0.15,K221L,199.62666,2.601,317.92896,21.41777,0.1563621,0.00403424,39.0806609,4,MPO623396,25,7,2005,2021,-999,0.39,M-v,3Ek,Pike,2005 CD81,20210320
K05C81E,7.4,0.15,K221L,11.35488,41.22914,103.86626,3.08554,0.0410854,0.00356388,42.4476584,2,MPO542950,20,5,2005,2020,-999,0.14,M-v,38h,Bell,2005 CE81,20200218
K05C81F,8.3,0.15,K221L,55.36496,358.43504,109.43671,0.40397,0.0602681,0.00451351,36.2626601,2,MPO542950,20,5,2005,2020,-999,0.14,M-v,38h,Bell,2005 CF81,20200218
K05C81G,6.4,0.15,K221L,340.3998,57.54991,134.72768,26.21648,0.2324902,0.00252174,53.4567897,1,MPO473098,90,12,2005,2018,-999,0.2,M-v,38h,MPCLINUX,2005 CG81,20180306
K05ET6E,6.7,0.15,K221L,247.19302,295.29198,341.97658,3.31097,0.0713568,0.00338988,43.8880857,3,MPO545639,39,5,2005,2020,-999,0.45,M-v,38h,MPCLINUX,2005 EE296,20200104
K05ET9B,8.5,0.15,K221L,11.20666,177.01751,351.64884,0.71382,0.5072896,0.00265489,51.6540639,0,MPO473098,122,12,2003,2018,-999,0.17,M-v,38h,MPCLINUX,2005 EB299,20180318
K05EU0Z,7.6,0.15,K221L,331.80427,253.41144,357.19385,10.35347,0.2381068,0.00398691,39.3892875,1,MPO473098,122,13,2005,2018,-999,0.2,M-v,38h,MPCLINUX,2005 EZ300,20180317
K05EU3M,7.6,0.15,K221L,349.1501,117.50687,113.33672,5.59994,0.0176729,0.00344154,43.4477357,3,MPO477547,18,4,2005,2019,-999,0.26,M-v,38h,MPCLINUX,2005 EM303,20190507
K05EU4F,7.3,0.15,K221L,0.9516,198.54599,15.59886,18.73919,0.5515241,0.00123703,85.9439132,2,MPO419354,27,6,2005,2014,-999,0.28,M-v,38h,MPCLINUX,2005 EF304,20140530
K05EV8B,6.7,0.15,K221L,98.40514,302.79775,166.95892,4.48589,0.1405581,0.00327109,44.9442789,3,MPO273888,21,3,2005,2013,-999,0.16,M-v,38h,MPCADO,2005 EB318,20130314
K05EV8C,6.34,0.15,K221L,139.11141,282.03587,109.3206,2.53433,0.038177,0.00343659,43.4894986,3,MPO623398,20,6,2003,2021,-999,0.72,M-v,3Ek,Pike,2005 EC318,20210320
K05EV8R,8.02,0.15,K221L,1.51379,210.36592,333.61518,10.44673,0.1572408,0.00450247,36.3219439,3,MPO623398,62,13,2005,2021,-999,0.86,M-v,3Ek,Pike,2005 ER318,20210320
K05EV8W,6.1,0.15,K221L,175.66276,227.00898,128.56642,1.06119,0.0775713,0.00334571,44.2734781,2,MPO473098,26,5,2002,2019,-999,0.26,M-v,38h,MPCW,2005 EW318,20190208
K05EV8X,7.0,0.15,K221L,57.76262,26.67711,100.23586,6.65195,0.2206783,0.00399156,39.3586994,1,MPO473098,91,11,2002,2018,-999,0.2,M-v,38h,MPCLINUX,2005 EX318,20180413
K05GI6X,7.25,0.15,K221L,314.31926,81.63436,158.99715,3.78887,0.0165023,0.00340678,43.7428112,4,MPO623401,26,6,2001,2021,-999,0.49,M-v,3Ek,MPCLINUX,2005 GX186,20210512
K05GI7A,7.5,0.15,K221L,310.39085,283.56628,27.79733,18.78381,0.2202532,0.00397953,39.4379938,2,MPO437949,25,4,2005,2015,-999,0.21,M-v,38h,MPCLINUX,2005 GA187,20150612
K05GI7C,7.2,0.15,K221L,28.34257,199.76272,2.37984,2.40437,0.1226398,0.00336853,44.0733234,3,MPO377774,20,4,2005,2016,-999,0.28,M-v,38h,MPCADO,2005 GC187,20160313
K05GI7D,7.3,0.15,K221L,194.41628,342.5248,354.39829,0.70766,0.0256946,0.00352187,42.7846044,2,MPO542959,23,7,2005,2020,-999,0.18,M-v,38h,Bell,2005 GD187,20200218
K05GI7F,8.2,0.15,K221L,358.11363,135.45392,128.9637,3.90273,0.2576091,0.00395522,39.5994595,1,MPO473099,41,9,2005,2018,-999,0.25,M-v,38h,MPCLINUX,2005 GF187,20180412
K05GK6X,7.2,0.15,K221L,359.79633,90.33516,126.1306,9.32496,0.5192384,0.00172419,68.877727,0,MPO639884,123,10,2002,2021,-999,0.18,M-v,38h,Veres,2005 GX206,20210607
K05GL0V,6.6,0.15,K221L,120.05097,258.76121,174.87964,12.04617,0.1711179,0.00403021,39.1066892,2,MPO339384,27,7,1999,2014,-999,0.26,M-v,38h,MPCADO,2005 GV210,20140530
K05GM8H,8.5,0.15,K221L,2.6332,209.46148,311.92342,17.18842,0.1833338,0.00448017,36.4423487,2,MPO339384,25,6,2005,2015,-999,0.3,M-v,38h,MPCADO,2005 GH228,20150323
K05JH4Z,6.7,0.15,K221L,296.91907,244.53583,59.19208,6.51763,0.0762024,0.00354533,42.5956338,3,MPO377775,20,4,2005,2016,-999,0.35,M-v,38h,MPCADO,2005 JZ174,20160313
K05JH5A,6.1,0.15,K221L,178.9468,193.50425,225.11953,14.27894,0.1069938,0.00356678,42.4246828,2,MPO545642,62,12,2005,2020,-999,0.26,M-v,38h,MPCLINUX,2005 JA175,20200515
K05JH7H,7.0,0.15,K221L,45.45207,60.30084,117.53391,3.2731,0.0912774,0.00332447,44.4618431,3,MPO342215,27,5,2005,2014,-999,0.24,M-v,38h,MPCW,2005 JH177,20140426
K05JI5Y,6.8,0.15,K221L,116.5348,110.44223,32.05979,2.14392,0.0641119,0.00335366,44.2035306,4,MPO198070,16,4,2005,2008,-999,0.15,M-v,38h,MPCW,2005 JY185,20080507
K05JI6B,7.7,0.15,K221L,348.38623,38.04077,238.42292,20.22593,0.1093061,0.00367122,41.6161947,2,MPO477548,26,5,2004,2019,-999,0.12,M-v,38h,MPCLINUX,2005 JB186,20190506
K05JI6J,6.6,0.15,K221L,336.05786,238.50213,63.80542,4.14564,0.0993162,0.00327986,44.864095,3,MPO473100,19,4,2005,2010,-999,0.13,M-v,38h,MPCLINUX,2005 JJ186,20100620
K05JI6K,6.6,0.15,K221L,349.56773,229.73228,63.17362,27.25673,0.2498196,0.00300038,47.6085548,2,MPO473100,21,6,2005,2012,-999,0.15,M-v,38h,MPCLINUX,2005 JK186,20120512
K05L54A,6.5,0.15,K221L,354.19669,200.73014,70.67871,7.91918,0.0706019,0.00332244,44.4799502,3,MPO264941,19,4,2005,2013,-999,0.12,M-v,38h,MPCADO,2005 LA54,20130609
K05L54B,5.8,0.15,K221L,355.27602,174.88786,96.08247,3.00306,0.0502547,0.0033958,43.8370417,2,MPO473100,50,8,2005,2015,-999,0.16,M-v,38h,MPCLINUX,2005 LB54,20150806
K05L54C,6.7,0.15,K221L,348.68138,236.94189,65.57789,22.44582,0.4689502,0.00175491,68.0716217,2,MPO339384,23,4,2005,2008,-999,0.21,M-v,38h,MPCADO,2005 LC54,20080507
K05NC5U,6.55,0.15,K221L,8.51954,359.44247,297.24244,37.09585,0.5160896,0.00132146,82.2430533,2,MPO639891,84,10,2005,2021,-999,0.65,M-v,3Ek,MPCLINUX,2005 NU125,20210808
K05NC5V,6.56,0.15,K221L,39.75865,328.88341,301.95528,13.31958,0.228246,0.00335122,44.2249607,2,MPO649726,134,11,2005,2021,-999,0.76,M-v,3Ek,MPCLINUX,2005 NV125,20210908
K05O00E,13.7,0.15,K221L,12.1437,116.28316,152.88371,67.50283,0.9515367,0.0019581,63.2770757,0,MPO380690,111,2,2002,2005,-999,0.41,M-v,38h,MPCW,2005 OE,20051008
K05P21L,6.6,0.15,K221L,66.99301,215.50721,38.62232,4.72998,0.1503084,0.00306409,46.9463849,3,MPO303312,10,4,2005,2014,-999,0.14,M-v,38h,MPCADO,2005 PL21,20140729
K05P21S,6.65,0.15,K221L,290.43721,246.36593,188.61427,2.59419,0.0807149,0.00328422,44.8243956,4,MPO659815,17,6,2005,2021,-999,0.43,M-v,3Ek,MPCLINUX,2005 PS21,20211003
K05P21T,7.19,0.15,K221L,25.18861,108.14189,177.13958,7.88113,0.5256292,0.00148824,75.9779852,3,MPO659815,20,6,2005,2021,-999,0.28,M-v,3Ek,MPCLINUX,2005 PT21,20210912
K05R43P,6.04,0.15,K221L,10.4417,346.82502,344.13186,22.87844,0.5998389,0.00105135,95.7863412,2,MPO659818,161,14,2005,2021,-999,0.93,M-v,3Ek,MPCLINUX,2005 RP43,20211003
K05R52H,7.43,0.15,K221L,3.28898,32.80785,305.99023,20.42502,0.7560522,0.00048736,159.9192865,2,MPO639897,32,7,2005,2021,-999,0.33,M-v,3Ek,MPCLINUX,2005 RH52,20210808
K05SM3B,14.2,0.15,K221L,36.5728,252.59332,219.8655,91.57957,0.9052198,0.00617684,29.4188206,1,MPO104351,50,1,-999,-999,244,0.31,M-v,38h,MPCW,2005 SB223,20060601
K05SR8E,7.21,0.15,K221L,28.45407,270.42085,95.14842,6.8944,0.1158831,0.00354973,42.5604302,2,MPO659821,80,7,2001,2021,-999,0.77,M-v,3Ek,MPCLINUX,2005 SE278,20210913
K05T53N,9.0,0.15,K221L,317.05375,84.34595,9.19815,24.95279,0.0665057,0.00593011,30.2292623,3,MPO285671,26,4,2005,2013,-999,0.22,M-v,38h,MPCADO,2005 TN53,20131006
K05T74N,7.54,0.15,K221L,359.41543,224.11694,179.13025,2.16799,0.2478238,0.00353402,42.6864347,3,E2021-W23,83,15,2000,2021,-999,0.81,M-v,3Ek,MPCLINUX,2005 TN74,20211004
K05TI9V,7.5,0.15,K221L,22.3491,184.5717,246.19492,34.39342,0.187611,0.00399874,39.3116044,1,MPO542995,30,7,2003,2020,-999,0.27,M-v,38h,Bell,2005 TV189,20200131
K05VC2Z,7.2,0.15,K221L,36.68584,179.30506,221.8758,12.0955,0.1805651,0.00372105,41.2438165,2,MPO543015,26,5,2005,2019,-999,0.31,M-v,38h,Rudenko,2005 VZ122,20191026
K05VC3A,7.3,0.15,K221L,65.57483,317.28706,39.60462,1.51142,0.2543709,0.00396659,39.5237326,2,MPO598926,21,4,2005,2020,-999,0.21,M-v,38h,Rudenko,2005 VA123,20201114
K05XB3N,6.5,0.15,K221L,338.95789,148.63174,336.08581,3.38409,0.4032879,0.00239648,55.3036357,1,MPO473115,110,8,2004,2017,-999,0.15,M-v,38h,MPCLINUX,2005 XN113,20171222
K06A98O,7.9,0.15,K221L,310.58151,86.63363,126.12737,23.9081,0.0851763,0.00424872,37.7540668,2,MPO339391,18,4,2004,2013,-999,0.37,M-v,38h,MPCADO,2006 AO98,20130312
K06BS4R,6.74,0.15,K221L,31.10745,97.87801,15.02346,1.16011,0.0350389,0.00342948,43.5495541,3,MPO623441,41,8,2004,2021,-999,0.54,M-v,3Ek,Pike,2006 BR284,20210320
K06BS4S,6.68,0.15,K221L,332.75293,249.23728,327.9441,4.59131,0.4355995,0.00217133,59.0633988,5,MPO598943,28,7,2004,2021,-999,0.45,M-v,3Ek,Alexanders,2006 BS284,20210111
K06C69H,6.57,0.15,K221L,52.5423,57.28549,40.82283,1.79331,0.0330974,0.00321487,45.466775,4,MPO639940,27,7,2005,2020,-999,0.38,M-v,3Ek,MPCLINUX,2006 CH69,20200104
K06E52X,14.6,0.15,K221L,20.08834,163.24722,247.92727,150.26237,0.9390616,0.00361303,42.0618744,0,MPO121855,201,2,2006,2007,-999,0.36,M-v,38h,MPCS,2006 EX52,20070109
K06HC2N,7.7,0.15,K221L,31.18011,158.35066,317.33935,7.81204,0.181566,0.00320273,45.5815886,2,MPO456550,19,4,2006,2016,-999,0.22,M-v,38h,MPCLINUX,2006 HN122,20160313
K06HC2P,7.2,0.15,K221L,33.53853,148.15002,40.79443,9.10495,0.1621922,0.00314008,46.1858221,3,MPO377779,18,4,2006,2016,-999,0.18,M-v,38h,MPCADO,2006 HP122,20160313
K06HC2Q,6.55,0.15,K221L,8.53834,346.13741,217.17407,21.66753,0.5844195,0.00113847,90.8351133,2,MPO639947,107,13,2006,2021,-999,0.69,M-v,3Ek,MPCLINUX,2006 HQ122,20210709
K06HC2R,7.6,0.15,K221L,20.32209,145.81137,50.35041,3.47882,0.3703554,0.00202279,61.9206575,6,MPO137499,11,2,2006,2007,-999,0.13,M-v,38h,MPCM,2006 HR122,20070716
K06HC2T,7.7,0.15,K221L,97.40081,317.53578,171.81152,7.214,0.1579927,0.00400003,39.3031275,2,MPO458547,49,5,2006,2017,-999,0.14,M-v,38h,MPCW,2006 HT122,20170826
K06HC2V,7.1,0.15,K221L,351.05504,237.60623,40.74221,16.05689,0.5402958,0.00133709,81.6011357,1,MPO473118,41,9,2006,2017,-999,0.2,M-v,38h,MPCLINUX,2006 HV122,20170404
K06HC2W,6.5,0.15,K221L,69.89751,124.97892,46.25295,1.5395,0.0632202,0.00321234,45.4905911,3,MPO339393,14,4,2006,2015,-999,0.21,M-v,38h,MPCADO,2006 HW122,20150424
K06HC2X,5.9,0.15,K221L,44.67017,257.99255,250.53544,12.8588,0.4736103,0.00171595,69.0980566,5,MPO139795,11,2,2006,2007,-999,0.16,M-v,38h,MPCM,2006 HX122,20070716
K06HC2Z,7.6,0.15,K221L,344.89022,43.45179,242.53063,30.10463,0.1909148,0.00303253,47.2715016,3,MPO450936,12,3,2006,2014,-999,0.2,M-v,38h,MPCLINUX,2006 HZ122,20140628
K06HC3A,7.2,0.15,K221L,39.76582,170.26373,52.11207,3.30751,0.0463258,0.00350515,42.92056,5,MPO456550,19,3,2005,2007,-999,0.18,M-v,38h,MPCLINUX,2006 HA123,20070516
K06HC3B,7.1,0.15,K221L,8.07396,128.75979,115.77599,1.8009,0.0912924,0.00335647,44.1788469,4,MPO264952,15,3,2006,2013,-999,0.24,M-v,38h,MPCADO,2006 HB123,20130607
K06HC3C,7.33,0.15,K221L,162.52624,31.84984,57.21109,12.61166,0.1349429,0.00445474,36.5808879,5,E2021-W32,14,4,2004,2013,-999,0.19,M-v,3Ek,Alexanders,2006 HC123,20130508
K06HC3E,7.1,0.15,K221L,36.1402,132.56235,84.44346,4.23093,0.07141,0.00336015,44.1465823,3,MPO466232,15,3,2006,2016,-999,0.16,M-v,38h,MPCLINUX,2006 HE123,20160529
K06J58U,6.6,0.15,K221L,106.16445,253.27542,238.50702,7.03592,0.1224463,0.00313133,46.2718494,3,MPO339394,22,4,2004,2015,-999,0.17,M-v,38h,MPCADO,2006 JU58,20150415
K06J58V,6.6,0.15,K221L,13.33829,96.35136,144.51855,0.31791,0.0620447,0.00325837,45.0612115,3,MPO456551,28,5,2004,2015,-999,0.16,M-v,38h,MPCLINUX,2006 JV58,20150612
K06QI0P,9.6,0.15,K221L,33.24379,53.19195,237.55936,4.96037,0.6563532,0.00413312,38.4547991,0,MPO434910,47,5,2002,2014,-999,0.21,M-v,38h,MPCW,2006 QP180,20140927
K06QI0Q,6.71,0.15,K221L,74.97752,155.0508,145.44284,9.3676,0.1773867,0.00355792,42.4950478,2,MPO649763,219,13,2006,2020,-999,0.75,M-v,3Ek,MPCLINUX,2006 QQ180,20201209
K06QI0Z,7.5,0.15,K221L,65.60003,111.66684,178.8327,23.99407,0.0384542,0.00309583,46.6248951,3,MPO644292,10,5,2006,2018,-999,0.09,M-v,38h,Veres,2006 QZ180,20180914
K06QI1A,7.59,0.15,K221L,322.59941,268.62027,158.92405,4.8189,0.0855777,0.00353974,42.6404454,3,MPO649763,68,6,2006,2018,-999,0.24,M-v,3Ek,MPCLINUX,2006 QA181,20180911
K06QI1B,7.2,0.15,K221L,166.51023,147.17829,64.7333,2.19123,0.0342585,0.00336079,44.1409672,4,MPO644292,23,5,2006,2017,-999,0.14,M-v,3Ek,Pike,2006 QB181,20171022
K06QI1F,7.01,0.15,K221L,291.81173,320.6787,136.72179,2.66182,0.0747435,0.00325224,45.117761,4,MPO649763,66,7,2006,2018,-999,0.22,M-v,3Ek,MPCLINUX,2006 QF181,20180914
K06QI1G,9.0,0.15,K221L,22.02764,313.60957,38.76795,7.224,0.6490383,0.00223569,57.9243978,1,MPO456553,17,3,2006,2014,-999,0.09,M-v,38h,MPCLINUX,2006 QG181,20141022
K06QI1H,4.3,0.15,K221L,106.75568,210.92295,73.83603,19.1323,0.4348172,0.00179026,67.172627,6,MPO285680,15,3,2006,2013,-999,0.31,M-v,38h,MPCADO,2006 QH181,20131106
K06QI1J,7.2,0.15,K221L,356.07528,218.58591,249.7763,20.06912,0.4926613,0.00200191,62.350376,1,MPO456553,61,9,2006,2016,-999,0.17,M-v,38h,MPCLINUX,2006 QJ181,20160313
K06QI1R,7.2,0.15,K221L,48.80156,31.91625,290.97855,9.8419,0.2065676,0.00306133,46.9745134,2,MPO331254,18,4,2006,2014,-999,0.15,M-v,38h,MPCADO,2006 QR181,20141022
K06RA3J,7.57,0.15,K221L,273.23965,21.24629,120.753,8.16753,0.0275207,0.00595902,30.131406,2,E2021-W23,165,15,2001,2021,-999,0.91,M-v,3Ek,MPCLINUX,2006 RJ103,20211101
K06Sa9F,6.8,0.15,K221L,22.04751,289.43088,95.21482,27.68242,0.3806191,0.00197316,62.9547541,2,MPO434913,51,6,1999,2017,-999,0.24,M-v,38h,MPCLINUX,2006 SF369,20171220
K06Sf5E,7.6,0.15,K221L,76.08191,74.51656,209.02879,18.48341,0.0290199,0.00350291,42.9388521,3,MPO357133,19,4,2006,2015,-999,0.24,M-v,38h,MPCADO,2006 SE415,20151108
K06Sf5F,7.8,0.15,K221L,344.61794,116.83487,269.07142,15.71121,0.0815501,0.00343125,43.5346174,3,MPO543115,18,4,2006,2019,-999,0.18,M-v,38h,Rudenko,2006 SF415,20190904
K06Sf5G,7.79,0.15,K221L,0.79889,182.81405,186.93471,31.31215,0.2986286,0.00292453,48.4282769,3,MPO659861,58,10,2005,2021,-999,0.42,M-v,3Ek,MPCLINUX,2006 SG415,20210912
K06Sf5H,7.8,0.15,K221L,358.18619,68.40864,310.22683,25.01722,0.2611929,0.00276599,50.2614717,2,MPO562061,29,6,2006,2020,-999,0.26,M-v,38h,Alexanders,2006 SH415,20200812
K06TC1K,8.08,0.15,K221L,331.61203,294.54983,174.08354,27.22588,0.2489574,0.00398601,39.395224,5,MPO659863,25,3,2005,2008,-999,0.91,M-v,3Ek,MPCLINUX,2006 TK121,20080930
K06TD0O,7.6,0.15,K221L,4.86062,169.30676,233.91858,1.04817,0.1554015,0.00445318,36.5894456,0,E2020-U22,105,13,1998,2020,-999,0.18,M-v,38h,MPCLINUX,2006 TO130,20201015
K06TD0P,6.6,0.15,K221L,308.68834,108.85224,8.3993,4.91222,0.2692745,0.00398172,39.4235106,3,E2021-VR4,102,13,1998,2021,-999,0.78,M-v,3Ek,MPCLINUX,2006 TP130,20211111
K06UI4X,8.9,0.15,K221L,8.35186,20.61855,39.40417,37.39012,0.4613148,0.00422615,37.8884042,0,MPO456559,110,12,2005,2018,-999,0.24,M-v,38h,MPCLINUX,2006 UX184,20180103
K06UI4Z,7.83,0.15,K221L,26.03138,149.20013,235.89685,14.83417,0.2297137,0.0039841,39.4078403,2,MPO598985,71,13,1999,2020,-999,0.64,M-v,3Ek,Pike,2006 UZ184,20201209
K06WJ5S,7.5,0.15,K221L,88.25885,233.12434,62.55161,32.69573,0.2369403,0.00396071,39.5628562,2,MPO315216,31,3,2004,2014,-999,0.14,M-v,38h,MPCADO,2006 WS195,20141022
K06WK6F,6.65,0.15,K221L,261.66111,191.07282,57.9919,2.05561,0.0496022,0.00346453,43.2553517,4,MPO598997,24,5,2006,2021,-999,0.34,M-v,3Ek,Alexanders,2006 WF206,20210111
K06WK6G,6.9,0.15,K221L,44.13948,121.61764,317.26758,14.33854,0.2884911,0.00278157,50.0737136,3,MPO623477,33,7,2004,2021,-999,0.42,M-v,3Ek,Pike,2006 WG206,20210320
K07C79Q,6.85,0.15,K221L,283.83949,241.44922,356.63272,1.1904,0.0757004,0.0032484,45.153362,4,MPO623484,26,7,2005,2021,-999,0.31,M-v,3Ek,Pike,2007 CQ79,20210320
K07C79R,7.6,0.15,K221L,23.57031,356.47645,133.34996,21.91589,0.2141706,0.00307596,46.8255326,2,MPO331260,18,4,2005,2015,-999,0.14,M-v,38h,MPCADO,2007 CR79,20150218
K07C79S,6.69,0.15,K221L,55.78701,130.04969,330.32575,1.54771,0.0318637,0.00338821,43.9024879,4,MPO639994,25,6,2005,2021,-999,0.52,M-v,3Ek,MPCLINUX,2007 CS79,20210215
K07DA1S,6.7,0.15,K221L,282.73875,219.89084,26.33498,1.3931,0.0856529,0.00340871,43.7263194,3,MPO419373,29,4,2005,2013,-999,0.26,M-v,38h,MPCLINUX,2007 DS101,20130313
K07F51M,6.7,0.15,K221L,76.87449,340.23568,106.74249,29.24059,0.1599113,0.00323433,45.2841496,2,MPO473134,33,6,2004,2019,-999,0.25,M-v,38h,MPCW,2007 FM51,20190307
K07F51N,7.5,0.15,K221L,17.68648,9.4443,102.37523,23.24435,0.6150343,0.00122675,86.4236266,1,MPO336465,44,6,2005,2013,-999,0.24,M-v,38h,MPCADO,2007 FN51,20130404
K07F51O,7.17,0.15,K221L,354.57852,150.92368,43.18701,27.9764,0.2836416,0.00278077,50.083228,4,MPO623490,56,9,2004,2021,-999,0.79,M-v,3Ek,MPCLINUX,2007 FO51,20210512
K07F51P,8.1,0.15,K221L,40.30568,55.26029,72.01405,25.61183,0.1975016,0.00332329,44.4724122,2,MPO336465,28,6,2004,2014,-999,0.21,M-v,38h,MPCADO,2007 FP51,20140328
K07H90V,6.6,0.15,K221L,26.79743,139.24709,88.95367,2.94337,0.0608562,0.00336351,44.1172013,2,MPO473134,32,6,2007,2016,-999,0.19,M-v,38h,MPCLINUX,2007 HV90,20160613
K07J45F,5.9,0.15,K221L,92.04851,343.67086,176.43315,11.01595,0.0835939,0.00397921,39.440085,1,MPO456566,164,10,2007,2018,-999,0.11,M-v,38h,MPCLINUX,2007 JF45,20180520
K07L38E,7.0,0.15,K221L,13.83322,54.55888,193.67115,35.98039,0.2300347,0.00246017,54.3449245,3,MPO473135,26,5,2007,2018,-999,0.26,M-v,38h,MPCLINUX,2007 LE38,20180418
K07L38F,5.9,0.15,K221L,23.91656,12.92235,169.49745,35.82142,0.553548,0.00120293,87.5606608,1,MPO477580,56,7,2007,2019,-999,0.18,M-v,38h,MPCLINUX,2007 LF38,20190507
K07L38G,7.9,0.15,K221L,21.10568,76.31033,139.74286,32.52976,0.4345785,0.00237414,55.6500032,1,MPO477580,46,6,2005,2019,-999,0.23,M-v,38h,MPCLINUX,2007 LG38,20190606
