"spkid","full_name","pdes","name","prefix","neo","pha","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch.mjd","epoch.cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp.cal","per","per.y","moid","moid.ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A2","A3","DT"
3046153,"       (2000 QC226)","2000 QC226",,,N,N,6.85,,,,,,,,,,,,,,,,,,,5,2459600.5,59600,2022-01-21.0000000,J2000,.05797308220621465,44.47576689923563,41.8973696086018,2.660004008085835,99.67840802893684,212.3163330975225,48.99246738731308,47.05416418986945,.003322912502731833,2444856.666887621806,1981-09-09.1668876,108338.693752555,296.615177967296,40.8845,15911.020865,36.8067,5.948,.00015295,.011357,.0042974,5.5185E-5,.0039785,.11938,.1225,.012015,1.2728E-6,31.559,41.497,TNO,"Otto Matic",6624,2000-08-29,2018-10-18,40,,,4,.24102,,,,,
3046154,"       (2000 QD226)","2000 QD226",,,N,N,7.3,,,,,,,,,,,,,,,,,0.,,"JPL 6",2451786.5,51786,2000-08-30.0000000,J2000,4.733414150383019E-5,41.16880731568435,41.16685862553332,2.250484390869584,334.6727043836445,178.0635718717255,185.7738978885831,41.17075600583538,.003731226779772118,2498480.553295269718,2128-07-04.0532953,96483.01249113215,264.156091693722,40.1533,15626.459761,35.7064,5.748,283.85,3698.6,14871.,141.85,241.66,2.5133E9,2.5135E9,3698.7,.50282,6.7365E11,1.3002E7,TNO,"Otto Matic",1,2000-08-29,2000-08-30,6,,,9,.14289,,,,,
3046155,"       (2000 QE226)","2000 QE226",,,N,N,6.44,,,,,,,,,,,,,,,,,,,6,2459600.5,59600,2022-01-21.0000000,J2000,.079033963293672,44.33171690527509,40.82800561863812,1.192835947719217,118.5254899876177,349.78372560,263.411338761269,47.83542819191207,.003339121692979596,2488526.867506103721,2101-04-03.3675061,107812.7822525574,295.175310753066,39.8447,15506.361899,35.5937,5.936,2.9394E-5,.0023288,.0029807,9.295E-5,.0068786,.028962,.028451,.0025129,2.6311E-7,6.4203,8.4953,TNO,"Otto Matic",7684,2000-08-29,2021-09-12,73,,,3,.6759,,,,,
3046156,"       (2000 QF226)","2000 QF226",,,N,N,8.3,,,,,,,,,,,,,,,,,0.,,"JPL 6",2451786.5,51786,2000-08-30.0000000,J2000,5.89632586378416E-5,46.49630541328171,46.49356383959992,2.253491704038797,40.99034318574126,111.602659847645,185.3313047147893,46.4990469869635,.003108682768778813,2507973.865606888867,2154-07-01.3656069,115804.6757345457,317.055922613404,45.4811,17699.879687,41.0261,6.086,178.72,3113.5,9005.6,39.475,1973.4,1.9849E9,1.9851E9,3113.7,.31225,6.3856E11,1.1632E7,TNO,"Otto Matic",1,2000-08-29,2000-08-30,7,,,9,.16861,,,,,
3046157,"       (2000 QG226)","2000 QG226",,,N,N,7.7,,,,,,,,,,,,,,,,,.1141,,"JPL 6",2451785.5,51785,2000-08-29.0000000,J2000,.1274913336995498,39.56472308892595,34.52056377486541,2.021733297984215,132.8922900141102,107.1861759262026,83.51707436870066,44.6088824029865,.003960425773991277,2430697.597048461281,1942-12-04.0970485,90899.31753403263,248.868768060322,33.508,13040.30836,29.1249,5.598,88.502,2965.5,1606.2,66.139,883.13,32999.,41703.,3343.5,.44527,8162300.,1.022E7,TNO,"Otto Matic",5,2000-08-25,2000-08-30,9,,,9,.10834,,,,,
3046158,"       (2000 QH226)","2000 QH226",,,N,N,9.0,,,,,,,,,,,,,,,,,,,6,2459600.5,59600,2022-01-21.0000000,J2000,.1958615099320914,39.84165460453045,32.03820797549425,2.791988197008652,350.8751822164623,308.8946667673924,56.70377343439157,47.64510123356663,.00391920539835337,2445132.318909461770,1982-06-11.8189095,91855.35418767585,251.486253765026,31.0244,12073.765748,26.907,5.551,5.639E-5,.0043311,.0018362,.00026554,.0016767,.018687,.020041,.0051794,6.3908E-7,2.8723,14.978,TNO,"Otto Matic",6329,2000-08-25,2017-12-23,43,,,3,.20897,,,,,
3046159,"       (2000 QJ226)","2000 QJ226",,,N,N,8.1,,,,,,,,,,,,,,,,,0.,,"JPL 6",2451786.5,51786,2000-08-30.0000000,J2000,.1117647365115661,39.20513711619679,34.82338529650523,9.354327265494343,153.4525013825832,106.4177350164442,66.31254420173512,43.58688893588835,.004015037521770396,2435270.454049700838,1955-06-11.9540497,89662.92296099418,245.483704205323,33.82,13161.7294,29.5676,5.516,1599.8,16359.,48353.,498.7,270.65,137970.,56190.,18187.,2.513,6509300.,5.612E7,TNO,"Otto Matic",1,2000-08-29,2000-08-30,7,,,9,.085005,,,,,
3046160,"       (2000 QK226)","2000 QK226",,,N,N,8.9,,,,,,,,,,,,,,,,,.68447,,"JPL 6",2451784.5,51784,2000-08-28.0000000,J2000,.4440510144106546,66.94445114417303,37.21769970443849,24.76575135456952,158.1798705554167,180.4774566483092,359.9959244348821,96.67120258390757,.001799418561319705,2451786.764934465819,2000-08-30.2649345,200064.6251731302,547.747091507543,36.2083,14091.184111,32.2158,5.914,53.776,6083.4,217.92,729.27,14.637,13148.,4539.6,8784.8,.24528,2522600.,2.7271E7,TNO,"Otto Matic",5,2000-08-25,2000-08-30,9,,,9,.12584,,,,,
3046161,"       (2000 QL226)","2000 QL226",,,N,N,8.1,,,,,,,,,,,,,,,,,.40464,,7,2459600.5,59600,2022-01-21.0000000,J2000,.192305145301635,44.02479967384863,35.55860417569379,2.490357828231503,167.4987240191046,213.3890163304534,357.4441157352474,52.49099517200346,.003374100321080637,2460358.000969601895,2024-02-17.5009696,106695.1085451725,292.115286913546,34.5623,13450.610291,30.6047,5.822,.00027068,.018389,.0029699,.00029419,.0023078,.023919,.017329,.021926,2.1141E-6,4.6863,66.85,TNO,"Otto Matic",6624,2000-08-29,2018-10-18,19,,,4,.20352,,,,,
3078880,"       (2000 QL251)","2000 QL251",,,N,N,6.8,,,,,,,,,,,,,,,,,,,10,2459600.5,59600,2022-01-21.0000000,J2000,.2221965770820853,48.18770342976632,37.48056067022559,3.671520171871178,223.3132730837974,100.2062163805922,39.46072496675825,58.89484618930706,.002946454443572187,2446207.886700702784,1985-05-22.3867007,122180.7453311742,334.512649777342,36.4714,14193.574738,32.4569,6.030,.0003308,.02746,.0055,.0002357,.0036914,.046876,.061913,.033561,2.5186E-6,9.6297,104.44,TNO,"Otto Matic",7001,2000-08-25,2019-10-26,56,,,4,.25529,,,,,
3078882,"       (2000 QN251)","2000 QN251",,,N,N,7.36,,,,,,,,,,,,,,,,,,,10,2459600.5,59600,2022-01-21.0000000,J2000,.1298253773951916,42.4681217922749,36.95468185332785,.3388799735182445,42.93299047076715,317.4282477415636,23.50697926283791,47.98156173122195,.003561307650163209,2452999.840474906564,2003-12-26.3404749,101086.4646820113,276.759656898046,35.9523,13991.556591,31.9974,5.788,.00032784,.020169,.0036355,.0001764,.022843,.03847,.039625,.022788,2.537E-6,6.663,72.013,TNO,"Otto Matic",7688,2000-08-26,2021-09-13,26,,,4,.33383,,,,,
3147569,"       (2000 QJ252)","2000 QJ252",,,N,N,7.6,,,,,,,,,,,,,,,,,.0049683,,"JPL 6",2451765.5,51765,2000-08-09.0000000,J2000,.1233543553210736,43.24212119783119,37.90801721475699,11.71546385539217,344.2739037061693,351.7373894539774,.02586758484928526,48.57622518090539,.003466119960952751,2451758.037019739451,2000-08-01.5370197,103862.5333385879,284.360118654587,36.8987,14359.867079,32.8972,5.723,287.6,12853.,1168.9,1988.7,1394.6,644230.,497830.,14438.,1.5454,1.4363E8,4.6307E7,TNO,"Otto Matic",24,2000-08-01,2000-08-25,4,,,9,.074495,,,,,
3147570,"       (2000 QK252)","2000 QK252",,,N,N,6.3,,,,,,,,,,,,,,,,,.24008,,"JPL 6",2451764.5,51764,2000-08-08.0000000,J2000,.1966270391840234,45.15020770467785,36.27245604516336,7.687880925065671,141.5087515977959,347.3317455390286,180.0777969455202,54.02795936419233,.003248736180340207,2507146.714210954618,2152-03-26.2142110,110812.3220896013,303.387603256951,35.2882,13733.108794,30.968,5.840,238.7,8046.1,17241.,1384.6,2314.1,298120.,432080.,9628.1,.86842,1.1858E8,2.9621E7,TNO,"Otto Matic",27,2000-07-31,2000-08-27,4,,,9,.078004,,,,,
3147571,"       (2000 QL252)","2000 QL252",,,N,N,7.6,,,,,,,,,,,,,,,,,.24245,,8,2459600.5,59600,2022-01-21.0000000,J2000,.2608890251916819,46.33680673118199,34.24804239258856,23.56417909720059,162.373302690438,123.1113606342946,54.06637053012975,58.42557106977542,.003124747446431775,2442297.863080696508,1974-09-07.3630807,115209.3108872183,315.425902497518,33.2926,12956.481142,29.4185,5.393,.00063628,.080331,.030153,.00065834,.0003003,.21498,.24726,.10129,8.1258E-6,34.151,299.6,TNO,"Otto Matic",7386,2000-07-31,2020-10-20,9,,,5,.11494,,,,,
3147573,"       (2000 QN252)","2000 QN252",,,N,N,7.7,,,,,,,,,,,,,,,,,.48782,,"JPL 6",2451765.5,51765,2000-08-09.0000000,J2000,9.552431213190999E-5,36.50784393361914,36.50435654693997,1.555422492367666,265.0363622914215,237.1967212521693,176.440040983746,36.51133132029832,.004468119665803193,2412276.843880484681,1892-06-27.3438805,80570.80537821409,220.590842924611,35.4935,13813.005395,31.0448,5.438,160.69,5027.1,10891.,54.113,2671.7,7.8247E7,7.8265E7,5027.6,.92289,1.7522E10,1.6642E7,TNO,"Otto Matic",28,2000-07-31,2000-08-28,4,,,9,.044583,,,,,
